Sentence	ConfirmationResult
да	1
нет	0
конечно	1
конечно да	1
конечно нет	0
да, конечно	1
нет, конечно	0
уверен	1
не уверен	0
естественно	1
естественно да	1
естественно нет	0
ну да	1
подтверждаю	1
отменить	0
отмена	0
не	0
не не	0
не не не	0
не не не не	0
определённо	1
определённо да	1
определённо нет	0
определенно	1
определенно да	1
определенно нет	0
продолжить	1
продолжай	1
стой	0
стоп	0
абсолютно	1
нет нет	0
нет нет нет	0
нет нет нет нет	0
отменяй	0
отмени	0
убедительное да	1
убедительное нет	0
да, я уверен	1
нет, я передумал	0
ano, jsem si jistý	1
ne, rozmyslel jsem si to	0
yes, I am sure	1
no, I changed my mind	0
конечно	1
нет, не хочу это делать	0
určitě	1
ne, nechci to udělat	0
definitely	1
no, I don't want to do it	0
я хочу это сделать	1
я не хочу это делать	0
chci to udělat	1
nechci to udělat	0
I want to do it	1
I don't want to do it	0
да, точно	1
нет, я не уверен	0
ano, určitě	1
ne, nejsem si jistý	0
yes, absolutely	1
no, I am not sure	0
без сомнений	1
нет, лучше не надо	0
bez pochyb	1
ne, radši ne	0
without a doubt	1
no, better not	0
конечно, хочу	1
нет, не буду это делать	0
samozřejmě, chci	1
ne, nebudu to dělat	0
of course, I want to	1
no, I will not do it	0
да, хочу	1
нет, я не готов	0
ano, chci	1
ne, nejsem připravený	0
yes, I want to	1
no, I am not ready	0
да, абсолютно	1
нет, я сомневаюсь	0
ano, naprosto	1
ne, pochybuji	0
yes, definitely	1
no, I have doubts	0
я уверен в этом	1
я не уверен в этом	0
jsem si tím jistý	1
nejsem si tím jistý	0
I am sure about it	1
I am not sure about it	0
да, это моя цель	1
нет, это не моя цель	0
ano, to je můj cíl	1
ne, to není můj cíl	0
yes, it is my goal	1
no, it is not my goal	0
точно, я готов	1
нет, я не готов	0
určitě, jsem připraven	1
ne, nejsem připraven	0
certainly, I am ready	1
no, I am not ready	0
да, я уверен в своем решении	1
нет, я не уверен в своем решении	0
ano, jsem si jistý svým rozhodnutím	1
ne, nejsem si jistý svým rozhodnutím	0
yes, I am confident in my decision	1
no, I am not confident in my decision	0
я готов идти вперед	1
нет, я не готов идти вперед	0
jsem připraven jít dál	1
nejsem připraven jít dál	0
I am ready to move forward	1
no, I am not ready to move forward	0
конечно, я согласен	1
нет, я не согласен	0
samozřejmě, souhlasím	1
ne, nesouhlasím	0
of course, I agree	1
no, I disagree	0
да, это правильный выбор	1
нет, это неправильный выбор	0
ano, to je správná volba	1
ne, to je špatná volba	0
yes, it is the right choice	1
no, it is the wrong choice	0
да, я так думаю	1
нет, я так не думаю	0
ano, myslím si to	1
ne, nemyslím si to	0
yes, I think so	1
no, I don't think so	0
я полон решимости	1
нет, я потерял решимость	0
jsem rozhodnutý	1
ztratil jsem rozhodnost	0
I am determined	1
no, I lost my determination	0
да, я хочу это сделать сейчас	1
нет, я не хочу это делать сейчас	0
ano, chci to udělat teď	1
ne, nechci to udělat teď	0
yes, I want to do it now	1
no, I don't want to do it now	0
да, я полностью готов	1
нет, я не готов полностью	0
ano, jsem plně připravený	1
ne, nejsem plně připravený	0
yes, I am fully prepared	1
no, I am not fully prepared	0
да, у меня нет сомнений	1
нет, у меня есть сомнения	0
ano, nemám pochybnosti	1
ne, mám pochybnosti	0
yes, I have no doubts	1
no, I have doubts	0
да, я согласен с этим	1
нет, я не согласен с этим	0
ano, souhlasím s tím	1
ne, nesouhlasím s tím	0
yes, I agree with that	1
no, I don't agree with that	0
конечно, да	1
нет, конечно, нет	0
samozřejmě, ano	1
ne, samozřejmě, že ne	0
of course, yes	1
